hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,74.1,83,2.1,0.1
01:00,71.7,87,6.9,0.1
02:00,75.9,65,15.6,0
03:00,71.1,65,13.4,0.02
04:00,74.6,50,6.7,0.1
05:00,77.0,59,8.0,0
06:00,74.3,87,5.1,0
07:00,71.0,61,17.5,0.1
08:00,75.4,70,5.4,0
09:00,77.7,58,12.2,0
10:00,74.4,56,15.6,0
11:00,79.7,91,15.3,0
12:00,80.7,57,15.8,0
13:00,82.3,47,7.3,0
14:00,80.3,73,13.8,0
15:00,80.4,72,7.8,0
16:00,82.4,65,5.1,0
17:00,79.9,51,14.0,0
18:00,74.9,90,10.5,0.1
19:00,74.7,46,5.7,0.02
20:00,73.0,92,11.8,0
21:00,71.5,68,16.6,0
22:00,72.0,71,11.3,0
23:00,73.4,86,15.8,0.1
