hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,71.6,46,9.0,0
01:00,72.7,63,10.6,0.1
02:00,72.8,45,8.7,0
03:00,77.5,80,1.3,0.1
04:00,72.1,50,13.1,0
05:00,71.9,70,15.1,0
06:00,71.7,89,4.4,0.02
07:00,77.9,55,6.5,0.02
08:00,75.7,92,4.6,0.02
09:00,72.0,69,13.5,0
10:00,76.3,50,14.0,0
11:00,80.5,69,15.5,0
12:00,77.8,89,10.3,0
13:00,78.9,65,13.2,0
14:00,79.5,50,7.8,0.02
15:00,83.3,76,2.6,0.02
16:00,77.5,72,17.7,0
17:00,83.8,75,15.6,0
18:00,71.1,64,9.3,0
19:00,75.0,92,15.6,0
20:00,70.1,49,6.2,0.02
21:00,76.8,49,5.5,0.1
22:00,77.1,63,4.5,0.1
23:00,73.9,59,8.8,0
