hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,76.0,70,14.0,0
01:00,71.3,88,1.7,0
02:00,71.9,45,15.5,0
03:00,75.3,86,4.4,0
04:00,71.6,48,7.6,0.1
05:00,73.5,46,8.3,0
06:00,72.5,65,17.5,0
07:00,70.1,60,12.9,0
08:00,73.5,46,1.2,0.02
09:00,70.2,49,13.7,0
10:00,74.9,48,6.3,0
11:00,80.1,75,17.7,0
12:00,81.2,54,9.6,0
13:00,83.5,91,7.5,0
14:00,82.9,52,1.7,0
15:00,81.6,45,10.8,0
16:00,79.8,48,2.6,0
17:00,81.4,47,12.6,0.02
18:00,73.8,61,7.8,0
19:00,76.7,65,8.1,0
20:00,71.6,73,5.0,0
21:00,74.4,92,1.6,0
22:00,74.1,91,14.1,0.1
23:00,70.6,89,3.3,0
