hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,70.8,80,13.7,0.1
01:00,71.4,92,12.5,0.1
02:00,74.4,86,2.7,0.1
03:00,73.1,46,8.2,0
04:00,72.8,70,12.5,0
05:00,75.4,63,5.1,0.02
06:00,75.5,53,7.3,0
07:00,73.9,72,12.6,0
08:00,75.4,82,6.5,0.1
09:00,73.5,67,14.1,0
10:00,77.7,87,3.7,0
11:00,76.2,81,11.6,0
12:00,77.7,65,2.3,0.02
13:00,78.2,74,3.5,0.1
14:00,76.7,76,12.1,0
15:00,77.6,54,5.0,0.02
16:00,81.8,91,6.2,0.02
17:00,80.5,65,6.9,0.1
18:00,77.8,75,14.8,0
19:00,72.1,85,10.9,0.02
20:00,73.2,70,3.8,0
21:00,76.4,65,14.7,0
22:00,72.4,89,7.5,0
23:00,76.6,60,10.1,0
