hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,74.2,57,5.1,0
01:00,77.1,51,7.8,0
02:00,72.1,70,7.1,0.1
03:00,77.2,74,8.8,0
04:00,72.8,81,9.3,0
05:00,70.1,74,6.0,0
06:00,70.7,46,6.9,0
07:00,70.8,79,5.2,0
08:00,75.4,71,5.0,0
09:00,72.0,63,13.5,0
10:00,76.7,88,15.9,0
11:00,78.0,60,8.1,0.02
12:00,78.5,77,7.7,0.1
13:00,81.3,91,7.5,0
14:00,81.8,56,7.1,0
15:00,80.7,72,2.1,0.02
16:00,80.1,82,10.9,0.1
17:00,83.7,45,2.2,0
18:00,77.9,55,7.0,0
19:00,70.6,71,17.6,0
20:00,73.1,59,4.7,0.1
21:00,77.2,50,11.1,0
22:00,76.1,65,5.3,0.02
23:00,74.7,76,11.2,0.02
