hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,71.9,70,2.4,0
01:00,76.3,91,13.0,0
02:00,70.0,72,2.3,0
03:00,71.6,49,10.4,0.02
04:00,74.9,45,12.3,0
05:00,71.1,50,7.7,0
06:00,72.0,59,13.5,0.1
07:00,70.7,88,4.9,0
08:00,76.3,90,4.5,0.02
09:00,71.3,55,6.5,0.02
10:00,73.1,87,7.2,0.1
11:00,81.5,61,5.9,0
12:00,83.6,63,7.5,0
13:00,77.1,91,14.6,0.1
14:00,78.3,78,16.6,0
15:00,82.6,73,1.6,0
16:00,82.5,81,6.9,0
17:00,82.1,68,7.8,0
18:00,71.8,76,14.7,0
19:00,75.5,79,11.2,0.1
20:00,73.6,79,12.6,0
21:00,76.3,75,4.3,0
22:00,74.3,80,12.9,0
23:00,76.5,60,4.3,0
