hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,70.6,70,10.0,0
01:00,77.1,76,16.8,0
02:00,73.1,92,9.2,0
03:00,77.4,78,1.3,0
04:00,76.1,62,7.9,0.02
05:00,77.8,55,9.3,0
06:00,76.6,73,10.1,0
07:00,70.9,60,15.5,0
08:00,71.5,82,5.2,0.02
09:00,75.6,89,10.8,0
10:00,70.0,59,16.2,0.1
11:00,80.1,60,14.1,0
12:00,82.1,52,9.5,0
13:00,83.4,69,8.5,0
14:00,80.6,65,3.2,0
15:00,77.6,47,6.1,0
16:00,79.6,90,14.0,0.1
17:00,80.8,68,17.6,0
18:00,72.1,66,4.6,0.02
19:00,72.2,61,2.4,0.02
20:00,75.3,77,3.6,0.1
21:00,70.8,48,6.1,0.02
22:00,73.5,56,16.6,0
23:00,76.3,48,11.4,0
