hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,72.0,87,5.5,0
01:00,73.9,46,15.4,0.02
02:00,72.7,83,3.3,0.02
03:00,76.3,79,8.3,0
04:00,74.9,75,14.6,0
05:00,76.6,47,4.8,0
06:00,72.8,74,6.4,0.1
07:00,74.3,69,1.9,0
08:00,76.1,60,9.4,0.02
09:00,76.5,83,17.9,0
10:00,71.5,78,13.6,0.1
11:00,76.7,65,9.4,0.1
12:00,77.2,67,7.8,0
13:00,83.5,90,6.1,0.1
14:00,81.7,76,15.1,0
15:00,80.8,54,5.7,0
16:00,80.4,72,15.4,0
17:00,77.6,81,17.3,0
18:00,76.4,66,17.5,0.1
19:00,76.2,45,1.0,0
20:00,70.3,85,2.5,0
21:00,72.8,80,15.6,0
22:00,72.7,88,17.8,0
23:00,74.5,51,5.2,0.02
