hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,72.6,56,10.7,0
01:00,75.9,50,2.4,0
02:00,77.4,68,2.7,0
03:00,74.8,81,12.9,0
04:00,77.1,60,16.2,0
05:00,74.2,61,17.0,0.1
06:00,72.7,72,1.9,0.1
07:00,70.8,85,14.5,0.02
08:00,75.6,78,2.2,0.1
09:00,74.8,68,15.0,0
10:00,74.4,88,5.8,0
11:00,81.1,87,10.1,0
12:00,82.2,48,2.6,0
13:00,78.8,76,1.1,0
14:00,80.9,45,16.5,0
15:00,77.5,89,7.8,0.02
16:00,81.3,92,4.5,0.02
17:00,81.0,45,8.6,0.1
18:00,72.7,61,3.7,0.1
19:00,73.2,52,4.3,0
20:00,73.5,87,10.3,0
21:00,70.3,76,2.2,0
22:00,73.5,48,11.6,0
23:00,73.6,45,8.9,0
