station_id,station_name,county,latitude,longitude,temp_f,humidity_pct,wind_mph,rain_in,soil_moist_pct,observed_at
BEN01,Fowler,Benton,40.5933,-86.5138,90.2,64,11.5,0.55,46,2026-07-11T14:00:00
BEN02,Oxford,Benton,40.3584,-87.0881,92.8,79,13.3,0,24,2026-07-11T14:00:00
CAR01,Delphi,Carroll,40.7653,-86.9123,86.9,87,7.5,0.04,44,2026-07-11T14:00:00
CAR02,Flora,Carroll,40.8169,-87.1683,89.7,61,14.1,0.01,42,2026-07-11T14:00:00
CAS01,Logansport,Cass,40.501,-86.5883,88.4,50,11.9,0.55,40,2026-07-11T14:00:00
CAS02,Walton,Cass,40.2631,-86.8532,83.3,64,10.5,0,22,2026-07-11T14:00:00
CLI01,Frankfort,Clinton,40.6299,-87.2949,92.4,68,4.4,0.04,39,2026-07-11T14:00:00
CLI02,Mulberry,Clinton,40.535,-86.541,85.6,46,9.4,0,43,2026-07-11T14:00:00
FOU01,Attica,Fountain,40.6098,-86.6464,84.4,67,12.1,0.12,39,2026-07-11T14:00:00
FOU02,Covington,Fountain,40.8004,-86.8418,80.0,76,7.8,0,35,2026-07-11T14:00:00
MON01,Crawfordsville,Montgomery,40.6249,-86.7194,84.3,56,4.9,0.55,31,2026-07-11T14:00:00
MON02,Ladoga,Montgomery,40.304,-87.3338,81.6,72,11.0,0,20,2026-07-11T14:00:00
PUL01,Winamac,Pulaski,40.7969,-86.7001,86.4,83,15.7,0.55,23,2026-07-11T14:00:00
PUL02,Francesville,Pulaski,40.2834,-86.569,83.7,67,10.8,0,31,2026-07-11T14:00:00
TIP01,West Lafayette,Tippecanoe,40.806,-87.2222,89.8,78,3.2,0,43,2026-07-11T14:00:00
TIP02,Lafayette,Tippecanoe,40.5666,-87.3429,86.1,49,11.0,0,30,2026-07-11T14:00:00
TIP03,Dayton,Tippecanoe,40.204,-86.619,82.1,76,17.7,0,19,2026-07-11T14:00:00
WAR01,Williamsport,Warren,40.6276,-87.0189,90.8,60,10.8,0.04,29,2026-07-11T14:00:00
WAR02,West Lebanon,Warren,40.4009,-86.9988,84.6,77,9.8,0,34,2026-07-11T14:00:00
WHI01,Monticello,White,40.7135,-86.4759,86.9,68,4.7,0.55,38,2026-07-11T14:00:00
WHI02,Brookston,White,40.6606,-87.192,92.8,84,17.7,0.04,46,2026-07-11T14:00:00
WHI03,Reynolds,White,40.3815,-86.7123,80.8,75,12.2,0,33,2026-07-11T14:00:00
CLI03,Rossville,Clinton,40.2871,-86.6337,80.7,78,3.6,0,23,2026-07-11T14:00:00
CAS03,Galveston,Cass,40.8693,-86.4471,89.6,46,12.3,0,21,2026-07-11T14:00:00
