hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,76.1,88,7.8,0.02
01:00,72.8,74,7.6,0.02
02:00,74.7,81,9.9,0
03:00,75.0,89,3.6,0
04:00,75.8,88,15.4,0
05:00,73.5,59,4.5,0.02
06:00,73.0,89,17.2,0
07:00,76.8,76,7.4,0.1
08:00,75.3,74,15.8,0
09:00,74.9,47,16.0,0
10:00,71.1,47,8.3,0
11:00,81.7,81,15.9,0.1
12:00,79.1,60,12.2,0
13:00,79.1,79,17.9,0.02
14:00,77.0,59,7.3,0.1
15:00,78.4,73,1.2,0.02
16:00,80.6,51,6.7,0
17:00,78.9,69,16.1,0
18:00,71.1,73,12.8,0.02
19:00,70.3,61,6.7,0
20:00,73.8,49,3.0,0.02
21:00,70.1,81,3.8,0
22:00,77.6,59,16.0,0
23:00,75.1,55,17.5,0
