hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,72.3,53,10.9,0.02
01:00,73.6,63,12.2,0.1
02:00,72.7,73,13.0,0
03:00,73.0,69,8.6,0
04:00,76.0,73,14.5,0
05:00,72.4,81,6.9,0
06:00,77.5,77,12.2,0.1
07:00,72.4,58,3.1,0
08:00,72.9,52,3.6,0.1
09:00,75.8,52,14.7,0
10:00,73.6,57,2.0,0.1
11:00,78.0,48,11.4,0.1
12:00,80.5,59,9.1,0
13:00,80.3,62,14.4,0.02
14:00,78.6,76,13.7,0.02
15:00,76.3,78,11.0,0
16:00,77.2,89,12.1,0.1
17:00,78.3,70,10.4,0
18:00,75.5,81,12.9,0.1
19:00,73.9,72,1.8,0.02
20:00,77.9,46,7.6,0
21:00,74.9,82,15.1,0
22:00,71.9,58,17.6,0.1
23:00,72.3,81,12.3,0
