hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,77.6,48,7.7,0
01:00,73.3,87,14.9,0
02:00,75.6,65,15.4,0
03:00,76.3,92,1.0,0
04:00,70.8,53,1.4,0.02
05:00,76.2,91,11.0,0
06:00,73.1,86,16.8,0
07:00,72.0,78,11.3,0
08:00,74.6,84,5.6,0.02
09:00,72.3,92,1.1,0
10:00,74.9,92,6.0,0
11:00,76.9,82,6.2,0
12:00,76.7,67,9.0,0
13:00,78.5,68,2.1,0.1
14:00,78.2,62,5.3,0
15:00,82.7,51,14.0,0.1
16:00,78.6,63,6.5,0
17:00,83.7,79,12.2,0
18:00,74.8,50,9.1,0.1
19:00,72.1,53,3.0,0.1
20:00,71.7,88,3.1,0
21:00,75.3,47,12.7,0.02
22:00,70.4,81,7.2,0.1
23:00,74.1,89,11.0,0
