hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,70.6,69,9.3,0.02
01:00,77.0,71,10.3,0
02:00,73.9,50,3.4,0
03:00,76.8,62,5.0,0.1
04:00,76.6,66,7.2,0
05:00,73.5,87,13.6,0
06:00,76.5,64,17.5,0
07:00,77.0,88,3.0,0
08:00,72.3,74,1.5,0.1
09:00,77.4,73,6.9,0
10:00,71.6,62,12.9,0.1
11:00,79.8,81,7.8,0
12:00,83.2,57,14.1,0.1
13:00,83.0,54,2.9,0
14:00,77.1,53,10.3,0.1
15:00,79.4,46,3.8,0
16:00,78.2,65,4.8,0
17:00,81.4,86,6.0,0.02
18:00,77.1,85,3.3,0.02
19:00,72.8,71,12.5,0
20:00,74.4,67,13.2,0.02
21:00,72.8,61,7.6,0.02
22:00,71.1,79,16.3,0.02
23:00,71.6,50,4.9,0
