hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,77.5,64,14.8,0.02
01:00,76.1,68,9.8,0.1
02:00,72.1,69,17.1,0
03:00,71.0,81,7.0,0
04:00,71.2,90,15.1,0.1
05:00,71.4,82,9.9,0
06:00,76.2,71,9.1,0.02
07:00,73.6,46,14.8,0
08:00,75.0,51,11.8,0.1
09:00,72.3,86,13.4,0
10:00,70.5,48,17.1,0
11:00,82.5,83,11.7,0
12:00,77.5,69,8.2,0
13:00,76.8,70,6.8,0
14:00,77.0,79,15.0,0
15:00,83.1,83,16.8,0
16:00,82.0,53,3.1,0
17:00,84.0,47,8.6,0.1
18:00,71.9,59,13.3,0
19:00,77.3,86,17.5,0.02
20:00,77.4,66,8.2,0
21:00,72.4,87,9.1,0.02
22:00,75.4,53,7.5,0
23:00,77.1,89,16.5,0
