hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,75.9,82,4.9,0.1
01:00,73.9,54,12.2,0
02:00,76.2,64,3.5,0.02
03:00,70.6,62,7.4,0.1
04:00,76.1,92,8.4,0
05:00,74.2,86,13.5,0.02
06:00,76.1,87,8.2,0
07:00,71.7,78,3.6,0.02
08:00,71.7,76,10.7,0
09:00,77.1,81,7.3,0
10:00,72.8,82,7.5,0.1
11:00,79.9,67,1.3,0.1
12:00,79.2,66,6.3,0
13:00,79.0,92,10.3,0
14:00,81.3,81,16.0,0.02
15:00,83.4,68,8.6,0.1
16:00,79.8,52,14.6,0.02
17:00,84.0,62,1.9,0
18:00,74.6,78,11.3,0.1
19:00,77.1,63,3.2,0.02
20:00,76.2,49,8.7,0
21:00,71.6,74,13.2,0.02
22:00,72.2,47,7.8,0.02
23:00,73.4,84,6.6,0
