hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,75.0,82,13.4,0
01:00,74.4,89,1.8,0
02:00,76.8,49,11.5,0
03:00,71.6,58,5.6,0
04:00,74.7,81,8.6,0
05:00,73.6,75,11.5,0.1
06:00,73.6,89,13.3,0
07:00,70.6,91,16.9,0
08:00,70.0,79,17.8,0.1
09:00,72.1,47,14.3,0
10:00,74.0,76,6.2,0
11:00,81.2,69,15.3,0
12:00,80.3,82,3.5,0.1
13:00,83.1,88,8.2,0.1
14:00,82.5,78,12.5,0
15:00,76.4,80,7.9,0
16:00,78.1,52,15.8,0
17:00,80.5,47,5.1,0
18:00,75.8,89,12.8,0
19:00,74.3,56,8.1,0
20:00,70.1,84,14.1,0.1
21:00,72.0,62,8.4,0
22:00,77.5,59,14.0,0
23:00,75.4,88,4.8,0.02
